Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,AllPrey,Hum,Bound,Post
80_07,0,0,0,0,-0.51,-0.17,0.49,0.09,0.61,-0.99,-0.51,-0.07,-1.08,1.64,0.08
80_08,0,0,1,0,-0.75,-0.51,0.19,-0.08,0.50,-0.54,-0.44,-0.07,-1.08,1.65,-0.03
80_09,1,0,1,1,-0.82,0.42,0.19,-0.08,0.92,-0.36,-1.08,-0.34,-1.13,1.65,-0.12
80_10,0,0,0,0,-0.86,-0.36,0.55,0.09,0.66,-0.27,-0.62,0.06,-1.13,1.64,-0.19
80_11,0,0,.,.,-0.84,-1.28,0.43,0.09,0.45,-0.01,-0.30,0.20,-1.08,1.60,-0.21
83_01,0,1,0,0,-0.68,-1.24,1.49,1.35,-1.20,0.26,1.39,1.42,-0.12,-0.23,-0.12
83_02,0,0,0,0,-0.41,-0.36,1.26,1.27,-0.83,0.17,0.97,1.15,-0.12,-0.31,0.02
83_03,0,0,0,0,-0.44,0.60,1.49,1.35,-0.61,-0.10,0.79,1.15,-0.03,-0.35,0.11
83_04,0,1,0,.,-0.90,-0.62,2.03,1.27,-0.99,0.35,1.50,1.82,0.21,-0.35,0.14
83_05,0,0,0,.,0.65,0.19,-0.52,0.51,-0.56,0.62,0.09,-0.07,-0.22,-0.39,0.13
83_06,0,0,0,0,-0.80,-1.35,1.73,1.35,-1.30,-0.10,1.46,1.42,-0.22,-0.09,-0.29
83_07,0,0,0,0,-0.84,-1.28,1.91,1.60,-1.20,0.08,1.46,1.69,-0.12,-0.17,-0.18
83_08,0,0,0,1,-0.78,-1.06,2.08,1.77,-1.14,0.08,1.46,1.82,0.02,-0.25,-0.04
83_09,0,1,.,.,-0.79,-1.10,2.14,1.94,-1.20,-0.36,1.53,1.82,0.21,-0.29,0.05
84_01,0,1,.,.,-0.87,-0.62,1.61,-0.25,-0.51,0.88,1.39,1.42,1.36,-0.44,0.26
84_02,0,0,1,0,-0.80,-0.51,1.61,-0.17,-0.51,0.88,1.39,1.42,1.46,-0.50,0.33
84_03,1,1,1,0,-0.77,-0.25,1.55,-0.17,-0.46,0.88,1.32,1.42,1.51,-0.56,0.39
84_04,0,0,0,0,-0.78,-0.99,1.61,-0.08,-0.40,0.88,1.32,1.42,1.60,-0.63,0.46
84_05,0,1,0,0,-0.78,-0.91,1.67,0.09,-0.35,0.97,1.29,1.55,1.70,-0.71,0.58
84_06,0,0,0,0,-0.75,-0.21,1.49,0.00,-0.19,0.88,1.11,1.42,1.75,-0.79,0.69
84_07,0,0,0,0,-0.71,0.12,1.49,0.09,-0.19,0.88,1.11,1.42,1.89,-0.86,0.78
84_08,1,1,0,0,-0.58,0.75,1.55,0.25,-0.46,0.88,1.36,1.55,2.03,-0.94,0.88
84_09,1,0,.,.,-0.42,0.38,1.43,0.25,-0.30,0.88,1.18,1.42,2.03,-0.99,0.96
84_10,0,0,0,0,-0.63,-0.91,1.14,-0.08,-0.35,0.97,1.18,1.28,1.89,-0.89,0.86
84_11,0,0,0,0,-0.29,-0.84,0.31,-0.34,-0.24,0.97,0.86,0.74,1.89,-0.98,0.98
84_12,0,0,0,0,0.45,-1.24,-0.64,-0.59,-0.35,0.97,0.76,0.20,1.94,-1.06,1.10
85_01,0,0,1,0,1.64,-0.69,-1.34,-0.59,-0.14,0.97,0.37,-0.34,2.08,-1.17,1.28
85_02,1,1,0,0,0.39,-0.54,-1.11,-0.25,-0.24,0.97,0.58,0.06,2.18,-1.25,1.41
85_03,0,0,0,0,-0.61,-0.69,-1.05,0.17,-0.08,0.97,0.26,0.06,2.22,-1.31,1.54
85_04,0,0,0,0,-0.17,-0.17,-0.46,1.18,0.02,0.97,0.33,0.61,2.32,-1.39,1.67
91_01,1,0,0,0,-0.65,0.67,-2.35,-1.77,-0.88,-6.15,-1.19,-4.54,1.99,-1.44,-1.53
91_02,0,0,0,0,-0.30,1.19,-0.34,1.94,0.87,-2.86,-1.12,-0.61,-0.12,-1.42,-1.44
91_03,0,0,1,0,-0.59,-0.17,0.13,1.94,0.55,-1.70,-0.51,0.06,-0.03,-1.40,-1.33
91_04,0,0,0,0,-0.10,0.42,-0.04,1.69,0.61,-1.97,-0.62,-0.21,0.02,-1.41,-1.21
91_05,0,1,0,0,0.37,0.56,-0.34,1.43,0.76,-1.97,-0.90,-0.48,0.02,-1.38,-1.09
91_06,0,0,0,0,0.75,0.01,-0.52,1.27,0.55,-1.61,-0.69,-0.48,0.07,-1.36,-0.97
97_01,0,0,0,0,-0.63,-0.62,0.90,0.17,0.34,-2.50,0.12,0.06,-1.18,2.03,-0.47
97_02,0,0,0,0,-0.58,-1.06,1.08,0.25,0.18,-1.88,0.37,0.33,-1.18,2.08,-0.34
97_03,0,0,1,0,-0.82,-0.76,1.32,0.42,0.29,-1.79,0.26,0.47,-1.13,2.06,-0.21
97_04,1,0,0,0,-0.81,-0.32,0.84,0.00,-0.61,-0.10,0.79,0.61,-1.13,2.03,-0.08
97_05,0,0,0,0,-0.46,-1.39,0.55,-0.17,-1.20,0.35,1.18,0.61,-1.13,1.98,0.05
97_07,0,0,0,1,-0.90,-0.91,0.07,-0.17,0.39,-0.45,-0.23,-0.07,-1.18,1.97,-0.04
97_08,1,1,1,0,-0.86,-0.47,-0.16,-0.25,0.55,-0.63,-0.55,-0.34,-1.18,2.05,-0.05
97_09,0,0,0,0,-0.90,-1.17,0.19,-0.08,0.34,-0.27,-0.20,0.06,-1.18,2.12,-0.03
97_10,0,0,0,0,1.03,-1.13,-0.10,-0.34,0.39,-0.10,-0.37,-0.21,-1.13,2.20,0.59
97_11,0,0,0,0,1.26,-0.95,0.02,-0.25,0.23,-0.36,-0.02,-0.07,-1.13,2.16,0.47
97_12,0,0,.,.,1.62,-1.32,0.02,-0.25,0.18,-0.45,0.09,-0.07,-1.13,2.16,0.36
98_01,0,1,1,0,-0.54,-1.17,-0.22,-0.42,-0.35,0.17,0.33,-0.07,-1.13,1.89,0.22
98_02,0,0,0,0,0.55,-0.80,-0.58,-0.59,-0.83,0.62,0.44,-0.21,-1.08,1.86,0.36
98_03,0,0,0,1,0.52,-1.10,-0.46,-0.50,-0.99,0.62,0.72,-0.07,-1.08,1.84,0.50
98_04,0,0,0,1,-0.40,-1.58,0.49,-0.08,-1.20,0.53,1.15,0.61,-1.03,1.83,0.48
98_05,1,1,1,1,-0.93,-1.24,1.02,0.17,-1.14,0.53,1.22,0.88,-1.03,1.79,0.35
98_06,1,0,0,0,-0.88,-1.10,0.90,0.09,-1.25,0.44,1.29,0.88,-1.03,1.75,0.22
98_07,0,0,0,0,-0.78,-0.95,1.20,0.25,-1.25,0.26,1.32,1.01,-1.03,1.70,0.09
98_08,0,0,0,0,-0.80,-0.84,0.90,0.17,-1.04,0.44,1.07,0.74,-1.03,1.64,-0.03
98_09,0,0,0,0,-0.86,-0.69,0.72,0.09,-0.93,0.35,0.97,0.61,-1.03,1.56,-0.15
99_01,0,0,0,0,-0.75,-1.02,0.90,0.17,-1.04,0.44,1.07,0.88,-1.03,1.48,-0.27
99_02,0,0,0,1,-0.61,-1.24,0.84,0.17,-1.14,0.44,1.15,0.74,-1.03,1.42,-0.40
99_03,1,1,0,0,-0.87,-1.24,1.02,0.25,-1.20,0.44,1.25,0.88,-1.03,1.38,-0.53
99_04,1,0,0,0,1.10,-1.17,-0.75,-0.42,-1.14,0.71,0.83,-0.07,-1.13,1.15,-1.24
99_05,0,0,0,0,0.69,-1.13,-0.75,-0.42,-1.14,0.62,0.86,-0.07,-1.13,1.20,-1.13
99_06,0,0,0,1,-0.63,-1.06,0.55,0.09,-1.04,0.44,1.04,0.61,-1.13,1.27,-1.02
99_07,1,1,1,1,-0.71,-0.87,0.72,0.17,-1.09,0.35,1.11,0.74,-1.08,1.29,-0.92
99_08,1,0,1,1,-0.67,-1.28,0.96,0.25,-1.09,0.44,1.18,0.88,-1.08,1.32,-0.80
99_09,1,0,0,1,-0.80,-1.39,1.08,0.34,-1.09,0.44,1.22,1.01,-1.08,1.36,-0.66
100_01,0,0,0,0,-0.76,0.82,0.96,0.42,-0.99,-0.01,1.07,0.74,-1.08,0.79,-1.71
100_02,0,1,0,0,0.48,-0.03,-0.69,-0.25,-0.99,0.62,0.69,-0.07,-1.08,0.71,-1.58
100_03,0,0,0,0,1.81,-0.03,-0.81,-0.25,-1.09,0.71,0.76,-0.07,-1.03,0.63,-1.46
100_04,0,0,0,0,1.75,0.78,-0.81,-0.17,-0.99,0.71,0.62,-0.21,-1.03,0.55,-1.35
100_05,1,1,0,0,1.27,0.64,-0.93,-0.25,-1.09,0.62,0.76,-0.21,-0.98,0.50,-1.29
100_06,0,0,.,.,1.58,-0.47,-0.93,-0.25,-1.14,0.62,0.86,-0.21,-0.94,0.44,-1.21
100_07,1,0,0,0,-0.40,0.56,1.14,0.59,-1.09,0.17,1.22,1.01,-1.08,0.84,-1.69
100_08,0,0,.,.,0.63,-0.28,-0.34,-0.17,-1.09,0.62,0.93,0.20,-1.13,0.86,-1.60
100_09,1,1,0,0,-0.59,-0.40,1.79,1.01,-1.14,-0.10,1.39,1.42,-1.03,0.87,-1.68
100_10,0,0,0,0,-0.57,0.31,1.37,0.68,-0.93,-0.45,1.15,1.01,-1.08,0.83,-1.70
100_11,0,0,0,0,-0.79,0.34,1.43,0.76,-0.72,-0.19,0.93,1.01,-1.03,0.75,-1.64
100_12,0,0,0,0,-0.41,0.93,0.96,0.51,-0.56,-0.54,0.58,0.47,-1.03,0.67,-1.52
100_13,0,0,0,0,-0.63,0.01,1.55,0.84,-1.04,-0.36,1.25,1.15,-0.94,0.59,-1.40
100_14,1,0,0,0,-0.72,0.01,0.90,0.51,-0.99,-0.01,1.04,0.74,-0.94,0.54,-1.29
100_15,0,0,0,.,-0.29,0.38,-0.52,-0.08,-0.72,0.17,0.40,-0.21,-0.98,0.52,-1.22
100_16,0,0,0,0,-0.58,-0.40,1.79,1.01,-1.14,-0.10,1.39,1.42,-1.03,0.87,-1.68
100_17,0,0,0,0,-0.77,-0.28,1.73,0.93,-1.04,0.08,1.32,1.42,-1.03,0.95,-1.56
100_18,0,1,.,.,-0.85,-0.06,1.91,1.10,-0.93,0.08,1.29,1.55,-1.03,1.02,-1.46
100_19,0,0,0,0,0.26,-0.17,0.78,0.25,-0.93,0.35,0.93,0.74,-1.13,1.09,-1.35
100_20,0,0,0,0,0.07,0.64,-0.10,0.09,-0.51,0.08,0.16,-0.07,-0.94,0.46,-1.13
100_21,1,1,1,0,-0.57,1.37,1.20,0.76,-0.30,-1.17,0.30,0.47,-0.84,0.37,-1.03
101_01,0,0,0,0,1.85,-0.36,-0.99,-0.17,-1.09,0.62,0.76,-0.21,-0.89,0.36,-1.08
101_02,0,0,0,0,0.92,0.23,-1.17,-0.25,-0.99,0.44,0.58,-0.34,-0.84,0.28,-0.96
101_03,0,0,0,0,0.10,-0.43,-0.40,0.09,-0.99,0.35,0.76,0.06,-0.79,0.21,-0.85
101_04,0,0,0,0,-0.28,-0.36,0.90,0.68,-1.04,-0.10,1.15,0.88,-0.65,0.15,-0.73
101_05,0,0,1,0,-0.51,-0.58,1.43,1.10,-0.99,0.17,1.18,1.28,-0.55,0.07,-0.59
101_06,0,0,0,0,-0.64,0.16,1.55,1.18,-1.09,0.08,1.29,1.42,-0.41,-0.01,-0.46
101_07,0,0,0,1,-0.38,-1.13,1.55,1.27,-1.25,0.08,1.43,1.42,-0.27,-0.09,-0.33
101_08,0,0,0,0,-0.74,0.49,1.43,0.93,-0.77,-0.99,0.97,0.88,-0.70,0.29,-0.90
101_09,0,0,0,0,-0.83,-0.28,1.73,1.18,-0.93,-0.54,1.25,1.28,-0.60,0.21,-0.78
101_10,0,0,0,0,-0.81,-0.91,1.79,1.27,-1.04,-0.01,1.32,1.42,-0.51,0.13,-0.65
101_11,0,0,0,0,-0.88,-1.21,1.85,1.35,-1.25,-0.19,1.46,1.42,-0.36,0.05,-0.53
101_12,0,0,0,.,-0.93,-1.06,1.85,1.43,-1.14,0.08,1.43,1.55,-0.31,-0.02,-0.42
102_01,0,0,0,0,1.40,-0.84,-0.99,-0.59,-0.40,0.88,0.30,-0.21,-0.12,-0.47,0.18
102_02,0,0,0,0,0.35,-0.62,-1.05,-0.59,-0.46,0.88,0.33,-0.34,-0.03,-0.50,0.23
102_03,0,0,1,0,0.86,-1.39,-0.87,-0.50,-0.67,0.88,0.69,-0.07,0.02,-0.54,0.28
102_04,0,0,0,0,1.74,-0.54,-1.05,-0.50,-0.35,0.88,0.19,-0.34,0.07,-0.58,0.34
102_05,0,0,0,0,0.73,0.16,-1.11,-0.50,-0.03,0.88,-0.34,-0.61,0.07,-0.63,0.42
102_06,0,0,0,0,-0.51,1.01,-1.23,-0.59,0.13,0.88,-0.55,-0.75,0.12,-0.66,0.49
102_07,0,0,0,0,-0.84,-0.58,-0.87,-0.42,-0.46,0.88,0.40,-0.21,0.31,-0.70,0.58
102_08,0,0,0,0,-0.52,-0.10,-0.58,-0.25,-0.56,0.88,0.69,0.06,0.40,-0.73,0.66
102_09,0,0,0,0,-0.81,-0.43,0.37,0.17,-0.40,0.88,0.62,0.61,0.45,-0.76,0.75
102_10,0,0,0,0,0.34,-0.14,-0.58,-0.25,-0.30,0.88,0.19,-0.07,0.45,-0.76,0.84
103_01,1,1,1,1,-0.73,-0.40,1.61,0.59,-0.14,0.88,1.11,1.69,2.22,-1.13,1.19
103_02,1,0,1,1,-0.84,-0.76,1.49,0.59,-0.35,0.88,1.25,1.55,2.27,-1.17,1.26
103_03,1,0,1,1,-0.68,-0.28,1.37,0.68,-0.19,0.88,1.11,1.55,2.32,-1.24,1.34
103_04,0,1,1,0,-0.86,-0.54,1.49,0.93,-0.19,0.88,1.11,1.69,2.37,-1.30,1.42
103_05,0,0,.,.,-0.51,-0.43,0.78,0.51,-0.30,0.97,1.07,1.15,2.32,-1.30,1.43
103_06,0,0,0,0,0.40,-0.58,-0.40,-0.08,-0.40,0.97,0.90,0.47,2.27,-1.31,1.46
103_07,0,0,.,.,1.33,-0.69,-1.40,-0.67,-0.24,0.97,0.44,-0.34,2.22,-1.30,1.46
110_01,0,0,0,0,0.38,0.23,-0.58,1.27,0.76,-0.99,-0.97,-0.34,0.07,-1.22,-0.54
110_02,0,0,0,0,0.41,1.23,-0.81,1.01,0.98,-1.61,-1.26,-0.75,0.07,-1.18,-0.41
110_03,0,0,1,1,-0.13,0.67,-0.10,1.27,0.98,-0.63,-1.15,-0.07,0.07,-1.12,-0.28
110_04,1,0,0,0,-0.43,1.37,-0.22,1.10,1.08,-1.25,-1.33,-0.48,0.12,-1.07,-0.15
110_05,0,0,0,0,0.67,1.89,-0.75,0.76,1.19,-1.52,-1.47,-0.89,0.12,-1.06,-0.02
110_06,0,0,0,0,1.72,1.56,-0.64,0.84,1.08,-0.99,-1.36,-0.61,0.16,-1.05,0.12
110_07,0,0,0,0,1.22,1.82,-0.52,0.84,1.14,-0.90,-1.40,-0.61,0.21,-1.05,0.23
110_08,0,0,0,0,0.72,2.04,-0.16,0.93,1.35,-0.81,-1.50,-0.34,0.16,-1.02,0.36
110_09,0,0,0,0,0.51,1.74,-0.16,0.84,1.14,-1.34,-1.36,-0.48,0.31,-0.95,0.50
110_10,0,0,.,.,0.15,1.45,-0.22,0.76,1.03,-1.43,-1.26,-0.61,0.40,-0.91,0.59
115_01,0,0,0,0,-0.87,-0.84,0.31,-0.17,0.45,-0.36,-0.30,0.06,-1.03,2.13,1.12
115_02,0,0,0,0,-0.77,-0.40,0.02,-0.34,0.29,-0.81,-0.13,-0.21,-1.03,2.18,1.03
115_03,0,0,0,0,-0.16,-0.40,0.02,-0.34,0.50,-0.90,-0.44,-0.34,-1.08,2.24,0.95
115_04,0,0,0,0,0.31,-0.47,0.49,-0.08,0.29,-0.45,0.01,0.20,-1.08,2.29,0.86
115_05,0,0,0,0,-0.65,-0.84,0.96,0.17,0.29,-0.63,0.12,0.47,-1.13,2.33,0.78
115_06,0,0,0,1,-0.78,-0.54,0.37,-0.17,0.45,-0.99,-0.23,-0.07,-1.13,2.44,0.89
115_07,1,1,0,0,-0.66,-1.32,0.43,-0.08,0.29,-0.27,-0.06,0.20,-1.13,2.36,0.79
115_08,0,0,0,0,-0.42,-1.02,0.19,-0.17,0.39,-0.19,-0.27,0.06,-1.13,2.28,0.69
117_01,0,1,1,0,-0.65,-0.03,1.91,1.01,-1.30,-0.27,1.50,1.42,-0.98,1.21,-1.13
117_02,0,0,0,1,-0.85,0.64,1.85,0.84,-1.25,-0.19,1.46,1.42,-1.03,1.25,-1.03
117_03,0,0,0,0,-0.82,-0.25,1.73,0.76,-1.14,-0.10,1.36,1.28,-1.03,1.31,-0.92
117_04,0,0,1,0,-0.76,-0.17,1.85,0.84,-1.25,-0.27,1.50,1.28,-0.98,1.38,-0.79
117_05,1,1,1,1,-0.65,-0.65,1.79,0.76,-1.20,-0.10,1.43,1.28,-1.03,1.45,-0.68
117_06,0,0,.,.,-0.88,-0.47,1.61,0.68,-1.09,-0.19,1.36,1.15,-1.03,1.49,-0.60
117_07,1,1,0,0,-0.74,0.23,0.78,0.09,-0.72,-0.01,0.69,0.47,-1.08,1.55,-0.51
117_08,1,1,0,0,-0.83,-0.28,0.55,0.00,-0.99,0.08,0.97,0.47,-1.08,1.59,-0.40
117_09,0,0,0,0,-0.11,-0.87,0.13,-0.17,-1.04,0.53,0.93,0.33,-1.13,1.67,-0.31
117_10,0,0,0,0,-0.64,-0.69,0.61,0.00,-1.09,0.35,1.11,0.61,-1.08,1.69,-0.23
117_11,0,0,0,1,-0.89,-0.14,0.67,0.00,-0.99,0.08,1.00,0.61,-1.08,1.75,-0.14
118_01,0,0,0,0,1.60,-0.91,-0.64,-0.25,-0.99,0.71,0.69,-0.07,-1.13,0.90,-1.49
118_02,0,0,0,0,2.31,0.31,-0.99,-0.42,-0.99,0.53,0.58,-0.34,-1.13,0.95,-1.35
118_03,0,0,0,0,2.46,-0.06,-0.81,-0.42,-1.09,0.71,0.76,-0.21,-1.08,1.01,-1.22
118_04,0,0,0,1,2.70,0.53,-0.93,-0.50,-0.99,0.62,0.62,-0.34,-1.08,1.07,-1.09
118_05,1,0,0,0,1.80,-0.36,-0.99,-0.50,-0.93,0.62,0.54,-0.34,-1.08,1.09,-0.97
118_06,0,0,0,0,1.70,-0.54,-0.93,-0.50,-0.83,0.62,0.37,-0.34,-1.08,1.12,-0.84
118_07,0,0,0,0,2.13,0.12,-1.05,-0.59,-0.67,0.62,0.16,-0.48,-1.08,1.17,-0.71
118_08,0,0,0,0,1.48,-0.36,-1.05,-0.59,-0.72,0.26,0.44,-0.48,-1.08,1.22,-0.58
118_09,1,0,1,1,-0.93,-0.51,2.14,1.27,-1.25,-0.19,1.53,1.55,-0.98,1.13,-1.27
124_01,0,0,0,0,-0.21,-1.39,-0.87,-1.01,-0.67,0.97,1.15,0.06,2.08,-1.08,1.11
124_02,0,0,0,0,-0.66,-1.35,-0.87,-0.84,-0.67,0.97,1.15,0.06,2.13,-1.11,1.23
124_03,0,0,1,0,-0.40,-1.46,-0.04,-0.34,-0.61,0.97,1.22,0.61,2.22,-1.14,1.34
124_04,0,0,0,0,-0.56,-1.46,-0.10,-0.17,-0.61,0.97,1.22,0.61,2.27,-1.19,1.45
124_05,0,0,0,0,0.20,-1.46,-0.64,-0.08,-0.46,0.97,0.93,0.33,2.27,-1.24,1.56
124_06,0,0,0,0,-0.23,-1.35,-0.69,0.25,-0.46,0.97,0.93,0.47,2.32,-1.31,1.69
124_07,0,0,0,0,-0.47,-0.73,-0.81,0.84,-0.67,0.97,1.15,0.61,2.42,-1.37,1.81
124_08,0,0,.,.,0.45,-0.99,-2.11,-0.59,-2.05,0.53,0.76,-1.70,2.85,-1.41,1.91
128_01,0,0,0,0,0.01,1.15,-0.16,0.76,1.08,-1.08,-1.29,-0.48,0.36,-0.85,0.72
128_02,0,0,0,0,0.21,1.49,-0.52,0.59,1.08,-1.25,-1.36,-0.75,0.31,-0.77,0.84
128_03,0,0,0,0,0.66,1.78,-0.52,0.51,1.24,-1.08,-1.50,-0.61,0.21,-0.68,0.97
128_04,0,0,0,0,-0.60,1.56,-0.40,-0.76,1.51,0.88,-1.43,-0.48,1.55,-1.01,0.77
128_05,1,1,1,1,0.38,1.49,-0.58,-0.93,1.51,0.88,-1.43,-0.61,1.51,-0.93,0.86
128_06,1,1,1,1,0.95,1.96,-0.93,-1.26,1.56,0.79,-1.47,-0.89,1.51,-0.85,0.98
128_07,1,0,0,0,0.48,2.00,-1.05,-1.35,1.56,0.71,-1.50,-0.89,1.46,-0.76,1.10
128_08,0,0,0,0,-0.45,1.19,-0.34,-1.09,1.45,0.79,-1.33,-0.48,1.55,-0.68,1.21
131_01,0,0,0,0,-0.94,0.01,0.61,0.17,0.66,-0.63,-0.59,0.06,-0.70,1.44,1.55
131_02,0,0,1,1,-0.93,-0.06,0.67,0.17,0.61,-0.99,-0.51,0.06,-0.60,1.35,1.65
131_03,0,0,0,0,-0.93,-0.28,0.67,0.17,0.55,-1.43,-0.41,-0.07,-0.51,1.26,1.73
131_04,0,0,0,0,-0.93,0.31,0.78,0.34,0.61,-1.08,-0.44,0.20,-0.46,1.17,1.81
131_05,0,0,0,0,-0.94,-0.06,0.67,0.25,0.50,-0.99,-0.30,0.20,-0.36,1.08,1.91
131_06,1,1,1,0,-0.31,-1.17,1.20,0.68,0.55,-0.01,-0.30,0.74,-0.31,0.99,2.02
131_07,1,1,1,1,1.02,-1.06,0.96,0.51,0.55,-0.27,-0.30,0.47,-0.17,0.91,2.15
131_08,0,0,0,0,2.33,0.23,0.72,0.42,0.55,-0.10,-0.41,0.33,-0.17,0.87,2.22
131_09,0,0,0,0,3.43,0.12,0.31,0.25,0.82,-0.10,-0.94,-0.07,-0.22,0.79,2.18
133_01,0,0,0,.,-0.61,-1.54,1.32,0.34,0.29,-0.54,0.26,0.88,-0.98,2.24,1.45
134_01,1,1,0,0,-0.89,0.12,0.96,0.09,0.13,-0.45,-0.06,0.33,-1.13,2.14,0.44
134_02,1,0,0,0,-0.90,0.71,1.08,0.17,0.71,-2.41,-0.55,-0.21,-1.08,2.21,0.56
134_03,1,0,0,0,-0.93,1.30,1.14,0.25,0.98,-2.41,-0.90,-0.21,-1.13,2.27,0.67
134_04,0,0,1,0,-0.75,1.15,1.14,0.25,1.03,-1.61,-1.08,-0.07,-1.13,2.35,0.78
134_05,0,0,.,.,-0.23,-0.28,1.08,0.25,0.66,-0.72,-0.48,0.33,-1.13,2.42,0.87
135_01,0,0,0,0,-0.79,-0.73,0.61,-0.08,-1.09,0.26,1.11,0.61,-1.08,1.87,0.06
135_02,0,0,.,.,-0.15,-1.43,0.43,-0.17,-1.14,0.62,1.07,0.47,-1.08,1.93,0.12
135_03,1,0,0,0,-0.79,-0.69,0.61,-0.08,-1.09,0.26,1.11,0.61,-1.08,1.87,0.06
135_04,0,0,0,0,-0.12,-1.32,0.25,-0.17,-1.09,0.62,1.00,0.47,-1.13,1.95,0.14
135_05,0,0,0,0,-0.30,-1.17,0.25,-0.25,-1.04,0.71,0.93,0.47,-1.13,2.02,0.24
135_06,0,1,1,.,-0.72,-0.54,0.78,0.00,-0.77,0.44,0.76,0.61,-1.13,2.07,0.34
140_01,0,0,0,0,2.11,-0.40,-1.40,-0.84,-0.51,0.79,0.33,-0.48,0.07,-0.63,0.27
140_02,0,0,0,0,1.45,-0.47,-1.40,-0.76,-0.56,0.88,0.40,-0.48,0.12,-0.71,0.24
140_03,0,0,0,0,1.37,-0.10,-1.29,-0.59,-0.77,0.88,0.72,-0.21,0.16,-0.78,0.21
140_04,0,0,0,0,1.86,0.45,-1.29,-0.50,-0.93,0.88,0.93,-0.21,0.26,-0.85,0.18
140_06,0,0,0,1,1.68,-0.58,-1.17,0.68,-1.36,0.44,1.07,0.06,0.07,-1.13,-0.63
140_07,1,0,0,0,0.98,0.12,-1.11,0.59,-1.25,0.44,1.00,0.06,0.07,-1.07,-0.51
140_08,0,0,0,0,-0.53,0.08,-0.81,0.76,-1.20,0.62,0.97,0.20,0.07,-1.00,-0.40
140_09,0,0,0,0,-0.74,-0.21,-0.28,0.93,-1.14,0.53,1.00,0.47,0.12,-0.93,-0.27
147_01,0,0,0,0,-0.56,2.00,-0.64,-1.68,1.61,0.79,-1.54,-0.75,1.27,0.10,2.16
147_02,0,0,0,0,0.21,1.93,-0.81,-1.77,1.61,0.88,-1.54,-0.89,1.22,0.16,2.23
147_03,0,0,0,0,-0.75,0.90,-0.69,-1.77,1.35,0.79,-1.22,-0.75,1.36,0.23,2.32
147_04,1,0,0,0,-0.93,0.27,-0.22,-1.52,1.35,0.88,-1.15,-0.48,1.41,0.29,2.42
147_05,0,0,0,0,-0.11,1.63,-0.69,-1.77,1.61,0.88,-1.54,-0.89,1.12,0.37,2.36
147_06,0,0,.,.,1.11,2.00,-0.58,-1.68,1.72,0.88,-1.61,-0.75,0.88,0.43,2.27
147_07,0,0,0,0,-0.51,1.85,-0.46,-1.60,1.56,0.79,-1.43,-0.75,1.36,0.03,2.10
147_08,0,0,0,0,-0.74,0.34,0.02,-1.35,1.19,0.88,-0.76,-0.21,1.55,-0.02,2.04
147_09,0,0,0,0,-0.17,1.93,-0.40,-1.52,1.45,0.79,-1.36,-0.61,1.46,-0.09,1.97
147_10,0,0,0,0,1.21,1.82,-0.64,-1.52,1.56,0.88,-1.50,-0.75,1.36,-0.14,1.91
147_11,0,0,.,.,2.27,2.04,-0.28,-1.26,1.72,0.97,-1.65,-0.61,1.22,-0.19,1.85
148_01,0,0,1,0,2.38,1.96,-0.69,-1.77,1.67,0.88,-1.57,-0.89,0.84,0.51,2.17
148_02,0,0,0,0,2.46,1.89,-0.52,-1.68,1.67,0.88,-1.57,-0.75,0.74,0.57,2.07
148_03,0,0,0,0,0.95,1.85,-0.46,-1.68,1.61,0.88,-1.54,-0.75,0.69,0.60,2.01
148_04,0,0,0,0,-0.56,1.52,-0.28,-1.68,1.56,0.88,-1.43,-0.61,0.79,0.62,2.00
148_05,1,0,.,.,-0.92,1.71,-0.16,-1.68,1.45,0.71,-1.33,-0.61,0.88,0.63,2.01
150_01,0,0,0,0,-0.86,-0.40,0.78,0.17,0.66,-0.72,-0.59,0.06,-0.94,1.74,1.07
150_02,0,0,0,0,-0.74,-0.99,0.96,0.25,0.55,-0.19,-0.37,0.47,-0.94,1.80,1.07
150_03,0,0,0,0,-0.74,-0.62,1.08,0.25,0.66,-0.27,-0.51,0.47,-0.98,1.87,1.07
150_04,0,0,0,0,-0.83,-0.84,0.96,0.25,0.61,-0.19,-0.44,0.33,-0.98,1.95,1.14
150_05,0,0,0,0,-0.82,-1.17,0.96,0.25,0.50,-0.10,-0.27,0.47,-0.98,2.00,1.22
150_06,0,0,0,1,-0.78,-1.17,0.90,0.17,0.45,-0.36,-0.20,0.47,-0.98,2.05,1.31
150_08,0,0,0,0,-0.93,-0.99,1.14,0.34,0.39,-1.17,0.05,0.47,-0.84,1.67,1.06
150_09,0,0,.,.,-0.80,-1.17,1.14,0.34,0.18,-1.61,0.47,0.47,-0.79,1.64,1.10
150_10,0,0,0,0,-0.61,-0.76,0.96,0.25,0.45,-1.25,-0.06,0.33,-0.89,1.67,1.10
150_11,0,0,0,0,-0.46,0.34,0.37,-0.08,0.61,-2.06,-0.55,-0.48,-0.84,1.64,1.23
155_01,0,0,0,0,1.40,0.34,-0.93,-0.17,-1.14,0.62,0.83,-0.21,-0.46,0.07,-0.01
155_02,0,0,0,0,1.21,0.45,-0.99,-0.17,-1.14,0.62,0.86,-0.21,-0.46,0.06,0.07
